method_name,samples_to_converge
discounting_free_vanilla_sampling,11424
discounting_free_vanilla_sampling,29296
discounting_free_vanilla_sampling,12304
discounting_free_vanilla_sampling,19600
discounting_free_vanilla_sampling,17744
discounting_free_vanilla_sampling,5696
discounting_free_vanilla_sampling,8080
discounting_free_vanilla_sampling,8672
discounting_free_vanilla_sampling,20432
discounting_free_vanilla_sampling,14928
discounting_free_vanilla_sampling,7824
discounting_free_vanilla_sampling,14000
discounting_free_vanilla_sampling,21552
discounting_free_vanilla_sampling,7712
discounting_free_vanilla_sampling,15936
discounting_free_vanilla_sampling,15744
discounting_free_vanilla_sampling,23920
discounting_free_vanilla_sampling,9456
discounting_free_vanilla_sampling,18160
discounting_free_vanilla_sampling,17760
discounting_free_vanilla_sampling,7296
discounting_free_vanilla_sampling,12352
discounting_free_vanilla_sampling,27408
discounting_free_vanilla_sampling,10432
discounting_free_vanilla_sampling,15840
discounting_free_vanilla_sampling,24112
discounting_free_vanilla_sampling,12160
discounting_free_vanilla_sampling,10816
discounting_free_vanilla_sampling,7744
discounting_free_vanilla_sampling,15392
discounting_free_vanilla_sampling,18672
discounting_free_vanilla_sampling,6480
discounting_free_vanilla_sampling,11504
discounting_free_vanilla_sampling,18896
discounting_free_vanilla_sampling,7808
discounting_free_vanilla_sampling,21072
discounting_free_vanilla_sampling,17488
discounting_free_vanilla_sampling,10784
discounting_free_vanilla_sampling,28640
discounting_free_vanilla_sampling,22816
discounting_free_vanilla_sampling,9184
discounting_free_vanilla_sampling,16032
discounting_free_vanilla_sampling,29792
discounting_free_vanilla_sampling,12800
discounting_free_vanilla_sampling,26592
discounting_free_vanilla_sampling,24992
discounting_free_vanilla_sampling,12064
discounting_free_vanilla_sampling,11984
discounting_free_vanilla_sampling,21376
discounting_free_vanilla_sampling,8912
discounting_free_vanilla_sampling,6496
discounting_free_vanilla_sampling,12832
discounting_free_vanilla_sampling,13696
discounting_free_vanilla_sampling,10432
discounting_free_vanilla_sampling,19632
discounting_free_vanilla_sampling,16656
discounting_free_vanilla_sampling,6464
discounting_free_vanilla_sampling,15504
discounting_free_vanilla_sampling,10816
discounting_free_vanilla_sampling,13360
discounting_free_vanilla_sampling,16784
discounting_free_vanilla_sampling,10848
discounting_free_vanilla_sampling,10880
discounting_free_vanilla_sampling,9568
discounting_free_vanilla_sampling,12528
discounting_free_vanilla_sampling,17712
discounting_free_vanilla_sampling,11024
discounting_free_vanilla_sampling,8640
discounting_free_vanilla_sampling,10112
discounting_free_vanilla_sampling,7952
discounting_free_vanilla_sampling,12480
discounting_free_vanilla_sampling,16768
discounting_free_vanilla_sampling,9856
discounting_free_vanilla_sampling,14960
discounting_free_vanilla_sampling,9744
discounting_free_vanilla_sampling,10000
discounting_free_vanilla_sampling,10176
discounting_free_vanilla_sampling,13520
discounting_free_vanilla_sampling,11712
discounting_free_vanilla_sampling,10352
discounting_free_vanilla_sampling,22160
discounting_free_vanilla_sampling,11200
discounting_free_vanilla_sampling,16176
discounting_free_vanilla_sampling,25584
discounting_free_vanilla_sampling,7120
discounting_free_vanilla_sampling,15152
discounting_free_vanilla_sampling,20336
discounting_free_vanilla_sampling,29568
discounting_free_vanilla_sampling,9808
discounting_free_vanilla_sampling,11728
discounting_free_vanilla_sampling,15248
discounting_free_vanilla_sampling,19376
discounting_free_vanilla_sampling,13968
discounting_free_vanilla_sampling,14000
discounting_free_vanilla_sampling,19984
discounting_free_vanilla_sampling,7184
discounting_free_vanilla_sampling,14896
discounting_free_vanilla_sampling,10944
discounting_free_vanilla_sampling,14944
discounting_free_vanilla_sampling,10672
discounting_free_natural_sampling,4736
discounting_free_natural_sampling,4368
discounting_free_natural_sampling,5008
discounting_free_natural_sampling,5840
discounting_free_natural_sampling,7552
discounting_free_natural_sampling,5504
discounting_free_natural_sampling,4384
discounting_free_natural_sampling,6416
discounting_free_natural_sampling,6816
discounting_free_natural_sampling,4736
discounting_free_natural_sampling,5248
discounting_free_natural_sampling,4064
discounting_free_natural_sampling,3984
discounting_free_natural_sampling,5984
discounting_free_natural_sampling,8144
discounting_free_natural_sampling,4256
discounting_free_natural_sampling,4608
discounting_free_natural_sampling,7280
discounting_free_natural_sampling,4656
discounting_free_natural_sampling,3792
discounting_free_natural_sampling,3952
discounting_free_natural_sampling,3984
discounting_free_natural_sampling,4304
discounting_free_natural_sampling,4912
discounting_free_natural_sampling,6416
discounting_free_natural_sampling,3888
discounting_free_natural_sampling,4624
discounting_free_natural_sampling,4768
discounting_free_natural_sampling,5888
discounting_free_natural_sampling,4880
discounting_free_natural_sampling,6320
discounting_free_natural_sampling,5056
discounting_free_natural_sampling,5360
discounting_free_natural_sampling,8192
